(lz4, comp 4, byte-shuffle) Time: 7758 ms, size 768555903 bytes
(lz4, comp 4, byte-shuffle) Time: 7880 ms, size 768555903 bytes
(lz4, comp 4, byte-shuffle) Time: 7956 ms, size 768555903 bytes
(lz4, comp 4, bit-shuffle) Time: 7124 ms, size 626571734 bytes
(lz4, comp 4, bit-shuffle) Time: 7128 ms, size 626571734 bytes
(lz4, comp 4, bit-shuffle) Time: 7060 ms, size 626571734 bytes
(lz4, comp 5, no-shuffle) Time: 10847 ms, size 972901347 bytes
(lz4, comp 5, no-shuffle) Time: 9653 ms, size 972901347 bytes
(lz4, comp 5, no-shuffle) Time: 10718 ms, size 972901347 bytes
(lz4, comp 5, byte-shuffle) Time: 7991 ms, size 761919149 bytes
(lz4, comp 5, byte-shuffle) Time: 7823 ms, size 761919149 bytes
(lz4, comp 5, byte-shuffle) Time: 7975 ms, size 761919149 bytes
(lz4, comp 5, bit-shuffle) Time: 7156 ms, size 623672835 bytes
(lz4, comp 5, bit-shuffle) Time: 7021 ms, size 623672835 bytes
(lz4, comp 5, bit-shuffle) Time: 6961 ms, size 623672835 bytes
(lz4, comp 6, no-shuffle) Time: 10629 ms, size 957821134 bytes
(lz4, comp 6, no-shuffle) Time: 10742 ms, size 957821134 bytes
(lz4, comp 6, no-shuffle) Time: 10784 ms, size 957821134 bytes
(lz4, comp 6, byte-shuffle) Time: 8022 ms, size 751948197 bytes
(lz4, comp 6, byte-shuffle) Time: 8135 ms, size 751948197 bytes
(lz4, comp 6, byte-shuffle) Time: 7969 ms, size 751948197 bytes
(lz4, comp 6, bit-shuffle) Time: 6931 ms, size 621976853 bytes
(lz4, comp 6, bit-shuffle) Time: 7139 ms, size 621976853 bytes
(lz4, comp 6, bit-shuffle) Time: 6719 ms, size 621976853 bytes
(lz4, comp 7, no-shuffle) Time: 10916 ms, size 955447824 bytes
(lz4, comp 7, no-shuffle) Time: 9669 ms, size 955447824 bytes
(lz4, comp 7, no-shuffle) Time: 10737 ms, size 955447824 bytes
(lz4, comp 7, byte-shuffle) Time: 7954 ms, size 741724684 bytes
(lz4, comp 7, byte-shuffle) Time: 7935 ms, size 741724684 bytes
(lz4, comp 7, byte-shuffle) Time: 8239 ms, size 741724684 bytes
(lz4, comp 7, bit-shuffle) Time: 6772 ms, size 619335494 bytes
(lz4, comp 7, bit-shuffle) Time: 7125 ms, size 619335494 bytes
(lz4, comp 7, bit-shuffle) Time: 6947 ms, size 619335494 bytes
(lz4, comp 8, no-shuffle) Time: 10754 ms, size 941548408 bytes
(lz4, comp 8, no-shuffle) Time: 10905 ms, size 941548408 bytes
(lz4, comp 8, no-shuffle) Time: 10909 ms, size 941548408 bytes
(lz4, comp 8, byte-shuffle) Time: 8723 ms, size 728313197 bytes
(lz4, comp 8, byte-shuffle) Time: 8561 ms, size 728313197 bytes
(lz4, comp 8, byte-shuffle) Time: 8688 ms, size 728313197 bytes
(lz4, comp 8, bit-shuffle) Time: 6484 ms, size 616549915 bytes
(lz4, comp 8, bit-shuffle) Time: 7405 ms, size 616549915 bytes
(lz4, comp 8, bit-shuffle) Time: 7267 ms, size 616549915 bytes
(lz4, comp 9, no-shuffle) Time: 11066 ms, size 940565594 bytes
(lz4, comp 9, no-shuffle) Time: 10600 ms, size 940565594 bytes
(lz4, comp 9, no-shuffle) Time: 10975 ms, size 940565594 bytes
(lz4, comp 9, byte-shuffle) Time: 9060 ms, size 709990243 bytes
(lz4, comp 9, byte-shuffle) Time: 8406 ms, size 709990243 bytes
(lz4, comp 9, byte-shuffle) Time: 8853 ms, size 709990243 bytes
(lz4, comp 9, bit-shuffle) Time: 7216 ms, size 612997886 bytes
(lz4, comp 9, bit-shuffle) Time: 6932 ms, size 612997886 bytes
(lz4, comp 9, bit-shuffle) Time: 6921 ms, size 612997886 bytes
(snappy, comp 0, no-shuffle) Time: 7041 ms, size 2452909560 bytes
(snappy, comp 0, no-shuffle) Time: 8519 ms, size 2452909560 bytes
(snappy, comp 0, no-shuffle) Time: 8928 ms, size 2452909560 bytes
(snappy, comp 0, byte-shuffle) Time: 8527 ms, size 2452909560 bytes
(snappy, comp 0, byte-shuffle) Time: 8524 ms, size 2452909560 bytes
(snappy, comp 0, byte-shuffle) Time: 8554 ms, size 2452909560 bytes
(snappy, comp 0, bit-shuffle) Time: 9086 ms, size 2452909560 bytes
(snappy, comp 0, bit-shuffle) Time: 8546 ms, size 2452909560 bytes
(snappy, comp 0, bit-shuffle) Time: 8307 ms, size 2452909560 bytes
(snappy, comp 1, no-shuffle) Time: 8469 ms, size 2452909560 bytes
(snappy, comp 1, no-shuffle) Time: 8467 ms, size 2452909560 bytes
(snappy, comp 1, no-shuffle) Time: 8619 ms, size 2452909560 bytes
(snappy, comp 1, byte-shuffle) Time: 8582 ms, size 2452909560 bytes
(snappy, comp 1, byte-shuffle) Time: 8730 ms, size 2452909560 bytes
(snappy, comp 1, byte-shuffle) Time: 8697 ms, size 2452909560 bytes
(snappy, comp 1, bit-shuffle) Time: 8644 ms, size 2452909560 bytes
(snappy, comp 1, bit-shuffle) Time: 8437 ms, size 2452909560 bytes
(snappy, comp 1, bit-shuffle) Time: 8602 ms, size 2452909560 bytes
(snappy, comp 2, no-shuffle) Time: 8943 ms, size 2452909560 bytes
(snappy, comp 2, no-shuffle) Time: 8568 ms, size 2452909560 bytes
(snappy, comp 2, no-shuffle) Time: 8414 ms, size 2452909560 bytes
(snappy, comp 2, byte-shuffle) Time: 8616 ms, size 2452909560 bytes
(snappy, comp 2, byte-shuffle) Time: 9042 ms, size 2452909560 bytes
(snappy, comp 2, byte-shuffle) Time: 8362 ms, size 2452909560 bytes
(snappy, comp 2, bit-shuffle) Time: 8529 ms, size 2452909560 bytes
(snappy, comp 2, bit-shuffle) Time: 8684 ms, size 2452909560 bytes
(snappy, comp 2, bit-shuffle) Time: 8688 ms, size 2452909560 bytes
(snappy, comp 3, no-shuffle) Time: 8717 ms, size 2452909560 bytes
(snappy, comp 3, no-shuffle) Time: 8413 ms, size 2452909560 bytes
(snappy, comp 3, no-shuffle) Time: 8625 ms, size 2452909560 bytes
(snappy, comp 3, byte-shuffle) Time: 9406 ms, size 2452909560 bytes
(snappy, comp 3, byte-shuffle) Time: 8959 ms, size 2452909560 bytes
(snappy, comp 3, byte-shuffle) Time: 7526 ms, size 2452909560 bytes
(snappy, comp 3, bit-shuffle) Time: 8727 ms, size 2452909560 bytes
(snappy, comp 3, bit-shuffle) Time: 8748 ms, size 2452909560 bytes
(snappy, comp 3, bit-shuffle) Time: 8724 ms, size 2452909560 bytes
(snappy, comp 4, no-shuffle) Time: 8524 ms, size 2452909560 bytes
